dataset,partition,window_length,class,samples,percentage
QTDB,train,360,Background,20200669,64.4155
QTDB,train,360,P,3844987,12.2608
QTDB,train,360,T,7314304,23.3237
QTDB,validation,360,Background,5575033,67.9249
QTDB,validation,360,P,985295,12.0046
QTDB,validation,360,T,1647312,20.0705
LUDB,adaptation,360,Background,52335,74.9356
LUDB,adaptation,360,P,6502,9.3099
LUDB,adaptation,360,T,11003,15.7546
LUDB,test,360,Background,457594,74.333
LUDB,test,360,P,69277,11.2536
LUDB,test,360,T,88729,14.4134
QTDB,train,440,Background,24335708,63.5087
QTDB,train,440,P,4509614,11.7687
QTDB,train,440,T,9473398,24.7226
QTDB,validation,440,Background,6619252,66.0016
QTDB,validation,440,P,1176872,11.7348
QTDB,validation,440,T,2232796,22.2636
LUDB,adaptation,440,Background,58463,72.6068
LUDB,adaptation,440,P,7278,9.0387
LUDB,adaptation,440,T,14779,18.3544
LUDB,test,440,Background,527523,72.442
LUDB,test,440,P,75566,10.3771
LUDB,test,440,T,125111,17.1809
