dataset,partition,record,windows,window_length
QTDB,train,sel100,1133,360
QTDB,train,sel102,1087,360
QTDB,train,sel103,1047,360
QTDB,train,sel104,1092,360
QTDB,train,sel114,339,360
QTDB,train,sel117,765,360
QTDB,train,sel123,753,360
QTDB,train,sel14046,1256,360
QTDB,train,sel14157,1079,360
QTDB,train,sel14172,662,360
QTDB,train,sel15814,1023,360
QTDB,train,sel16273,1109,360
QTDB,train,sel16420,1062,360
QTDB,train,sel16483,1084,360
QTDB,train,sel16539,921,360
QTDB,train,sel16773,1007,360
QTDB,train,sel16786,924,360
QTDB,train,sel17152,1625,360
QTDB,train,sel213,1638,360
QTDB,train,sel221,1234,360
QTDB,train,sel223,1302,360
QTDB,train,sel231,731,360
QTDB,train,sel232,862,360
QTDB,train,sel233,1525,360
QTDB,train,sel30,1012,360
QTDB,train,sel301,1350,360
QTDB,train,sel302,1499,360
QTDB,train,sel306,1038,360
QTDB,train,sel307,852,360
QTDB,train,sel308,1294,360
QTDB,train,sel31,1086,360
QTDB,train,sel310,2009,360
QTDB,train,sel32,703,360
QTDB,train,sel33,526,360
QTDB,train,sel34,896,360
QTDB,train,sel35,854,360
QTDB,train,sel36,946,360
QTDB,train,sel37,666,360
QTDB,train,sel38,1560,360
QTDB,train,sel39,1170,360
QTDB,train,sel41,1365,360
QTDB,train,sel42,1246,360
QTDB,train,sel45,970,360
QTDB,train,sel46,856,360
QTDB,train,sel47,884,360
QTDB,train,sel48,1394,360
QTDB,train,sel49,819,360
QTDB,train,sel50,660,360
QTDB,train,sel51,748,360
QTDB,train,sel52,1409,360
QTDB,train,sel808,902,360
QTDB,train,sel811,703,360
QTDB,train,sel820,1157,360
QTDB,train,sel821,1554,360
QTDB,train,sel840,1179,360
QTDB,train,sel847,800,360
QTDB,train,sel853,1110,360
QTDB,train,sel871,914,360
QTDB,train,sel872,988,360
QTDB,train,sel873,857,360
QTDB,train,sel883,891,360
QTDB,train,sele0104,803,360
QTDB,train,sele0106,895,360
QTDB,train,sele0110,870,360
QTDB,train,sele0114,697,360
QTDB,train,sele0116,558,360
QTDB,train,sele0121,1427,360
QTDB,train,sele0124,1119,360
QTDB,train,sele0126,944,360
QTDB,train,sele0129,757,360
QTDB,train,sele0133,838,360
QTDB,train,sele0136,808,360
QTDB,train,sele0166,811,360
QTDB,train,sele0170,895,360
QTDB,train,sele0203,1245,360
QTDB,train,sele0210,1061,360
QTDB,train,sele0303,1042,360
QTDB,train,sele0405,1213,360
QTDB,train,sele0409,1735,360
QTDB,train,sele0603,868,360
QTDB,train,sele0604,1029,360
QTDB,train,sele0606,1439,360
QTDB,train,sele0607,1181,360
QTDB,train,sele0612,749,360
QTDB,validation,sel116,1184,360
QTDB,validation,sel16265,1030,360
QTDB,validation,sel16272,849,360
QTDB,validation,sel16795,760,360
QTDB,validation,sel17453,1046,360
QTDB,validation,sel230,1076,360
QTDB,validation,sel40,1067,360
QTDB,validation,sel43,1428,360
QTDB,validation,sel44,1303,360
QTDB,validation,sel803,1024,360
QTDB,validation,sel891,1263,360
QTDB,validation,sele0107,810,360
QTDB,validation,sele0111,899,360
QTDB,validation,sele0112,683,360
QTDB,validation,sele0122,1412,360
QTDB,validation,sele0211,1573,360
QTDB,validation,sele0406,957,360
QTDB,validation,sele0411,1199,360
QTDB,validation,sele0509,1026,360
QTDB,validation,sele0609,1122,360
QTDB,validation,sele0704,1088,360
LUDB,adaptation,2,9,360
LUDB,adaptation,4,9,360
LUDB,adaptation,35,19,360
LUDB,adaptation,37,10,360
LUDB,adaptation,48,8,360
LUDB,adaptation,54,8,360
LUDB,adaptation,74,8,360
LUDB,adaptation,75,9,360
LUDB,adaptation,85,11,360
LUDB,adaptation,104,10,360
LUDB,adaptation,105,11,360
LUDB,adaptation,108,10,360
LUDB,adaptation,114,13,360
LUDB,adaptation,119,8,360
LUDB,adaptation,127,6,360
LUDB,adaptation,134,7,360
LUDB,adaptation,136,13,360
LUDB,adaptation,150,9,360
LUDB,adaptation,156,9,360
LUDB,adaptation,160,7,360
LUDB,test,1,6,360
LUDB,test,3,9,360
LUDB,test,5,8,360
LUDB,test,6,7,360
LUDB,test,7,9,360
LUDB,test,8,11,360
LUDB,test,9,10,360
LUDB,test,10,8,360
LUDB,test,11,9,360
LUDB,test,12,8,360
LUDB,test,13,9,360
LUDB,test,14,12,360
LUDB,test,15,9,360
LUDB,test,16,10,360
LUDB,test,17,9,360
LUDB,test,18,11,360
LUDB,test,19,9,360
LUDB,test,20,9,360
LUDB,test,21,10,360
LUDB,test,22,11,360
LUDB,test,23,8,360
LUDB,test,24,7,360
LUDB,test,25,8,360
LUDB,test,26,9,360
LUDB,test,27,7,360
LUDB,test,28,8,360
LUDB,test,29,9,360
LUDB,test,30,7,360
LUDB,test,31,9,360
LUDB,test,32,9,360
LUDB,test,33,9,360
LUDB,test,34,9,360
LUDB,test,36,9,360
LUDB,test,38,16,360
LUDB,test,39,8,360
LUDB,test,40,9,360
LUDB,test,41,7,360
LUDB,test,42,8,360
LUDB,test,43,8,360
LUDB,test,44,10,360
LUDB,test,45,8,360
LUDB,test,46,9,360
LUDB,test,47,7,360
LUDB,test,49,8,360
LUDB,test,50,10,360
LUDB,test,51,9,360
LUDB,test,52,9,360
LUDB,test,53,9,360
LUDB,test,55,9,360
LUDB,test,56,11,360
LUDB,test,57,12,360
LUDB,test,58,9,360
LUDB,test,59,8,360
LUDB,test,60,8,360
LUDB,test,61,9,360
LUDB,test,62,10,360
LUDB,test,63,11,360
LUDB,test,64,9,360
LUDB,test,65,12,360
LUDB,test,66,7,360
LUDB,test,67,8,360
LUDB,test,68,9,360
LUDB,test,69,11,360
LUDB,test,70,13,360
LUDB,test,71,8,360
LUDB,test,72,9,360
LUDB,test,73,9,360
LUDB,test,76,11,360
LUDB,test,77,11,360
LUDB,test,78,9,360
LUDB,test,79,8,360
LUDB,test,80,11,360
LUDB,test,81,11,360
LUDB,test,82,8,360
LUDB,test,83,3,360
LUDB,test,84,8,360
LUDB,test,86,13,360
LUDB,test,87,13,360
LUDB,test,88,13,360
LUDB,test,89,10,360
LUDB,test,90,9,360
LUDB,test,91,11,360
LUDB,test,92,14,360
LUDB,test,93,9,360
LUDB,test,94,11,360
LUDB,test,95,9,360
LUDB,test,96,12,360
LUDB,test,97,8,360
LUDB,test,98,9,360
LUDB,test,99,11,360
LUDB,test,100,9,360
LUDB,test,101,11,360
LUDB,test,102,10,360
LUDB,test,103,13,360
LUDB,test,106,12,360
LUDB,test,107,8,360
LUDB,test,109,12,360
LUDB,test,110,7,360
LUDB,test,111,9,360
LUDB,test,112,14,360
LUDB,test,113,9,360
LUDB,test,115,8,360
LUDB,test,116,13,360
LUDB,test,117,14,360
LUDB,test,118,9,360
LUDB,test,120,9,360
LUDB,test,121,14,360
LUDB,test,122,9,360
LUDB,test,123,9,360
LUDB,test,124,8,360
LUDB,test,125,7,360
LUDB,test,126,10,360
LUDB,test,128,7,360
LUDB,test,129,8,360
LUDB,test,130,8,360
LUDB,test,131,9,360
LUDB,test,132,9,360
LUDB,test,133,7,360
LUDB,test,135,10,360
LUDB,test,137,10,360
LUDB,test,138,9,360
LUDB,test,139,10,360
LUDB,test,140,12,360
LUDB,test,141,9,360
LUDB,test,142,10,360
LUDB,test,143,12,360
LUDB,test,144,9,360
LUDB,test,145,9,360
LUDB,test,146,8,360
LUDB,test,147,8,360
LUDB,test,148,10,360
LUDB,test,149,9,360
LUDB,test,151,10,360
LUDB,test,152,9,360
LUDB,test,153,8,360
LUDB,test,154,10,360
LUDB,test,155,8,360
LUDB,test,157,8,360
LUDB,test,158,10,360
LUDB,test,159,10,360
LUDB,test,161,9,360
LUDB,test,162,10,360
LUDB,test,163,11,360
LUDB,test,164,9,360
LUDB,test,165,10,360
LUDB,test,166,9,360
LUDB,test,167,10,360
LUDB,test,168,9,360
LUDB,test,169,8,360
LUDB,test,170,7,360
LUDB,test,171,10,360
LUDB,test,172,7,360
LUDB,test,173,12,360
LUDB,test,174,8,360
LUDB,test,175,10,360
LUDB,test,176,9,360
LUDB,test,177,11,360
LUDB,test,178,12,360
LUDB,test,179,9,360
LUDB,test,180,11,360
LUDB,test,181,9,360
LUDB,test,182,12,360
LUDB,test,183,11,360
LUDB,test,184,9,360
LUDB,test,185,14,360
LUDB,test,186,10,360
LUDB,test,187,10,360
LUDB,test,188,13,360
LUDB,test,189,7,360
LUDB,test,190,11,360
LUDB,test,191,9,360
LUDB,test,192,10,360
LUDB,test,193,9,360
LUDB,test,194,8,360
LUDB,test,195,9,360
LUDB,test,196,11,360
LUDB,test,197,11,360
LUDB,test,198,8,360
LUDB,test,199,8,360
LUDB,test,200,9,360
QTDB,train,sel100,1133,440
QTDB,train,sel102,1086,440
QTDB,train,sel103,1047,440
QTDB,train,sel104,1092,440
QTDB,train,sel114,339,440
QTDB,train,sel117,765,440
QTDB,train,sel123,753,440
QTDB,train,sel14046,1256,440
QTDB,train,sel14157,1078,440
QTDB,train,sel14172,662,440
QTDB,train,sel15814,1023,440
QTDB,train,sel16273,1109,440
QTDB,train,sel16420,1062,440
QTDB,train,sel16483,1084,440
QTDB,train,sel16539,921,440
QTDB,train,sel16773,1007,440
QTDB,train,sel16786,923,440
QTDB,train,sel17152,1624,440
QTDB,train,sel213,1638,440
QTDB,train,sel221,1234,440
QTDB,train,sel223,1302,440
QTDB,train,sel231,731,440
QTDB,train,sel232,862,440
QTDB,train,sel233,1524,440
QTDB,train,sel30,1012,440
QTDB,train,sel301,1350,440
QTDB,train,sel302,1499,440
QTDB,train,sel306,1038,440
QTDB,train,sel307,852,440
QTDB,train,sel308,1294,440
QTDB,train,sel31,1086,440
QTDB,train,sel310,2008,440
QTDB,train,sel32,702,440
QTDB,train,sel33,526,440
QTDB,train,sel34,896,440
QTDB,train,sel35,854,440
QTDB,train,sel36,946,440
QTDB,train,sel37,666,440
QTDB,train,sel38,1560,440
QTDB,train,sel39,1169,440
QTDB,train,sel41,1365,440
QTDB,train,sel42,1245,440
QTDB,train,sel45,970,440
QTDB,train,sel46,855,440
QTDB,train,sel47,883,440
QTDB,train,sel48,1393,440
QTDB,train,sel49,819,440
QTDB,train,sel50,660,440
QTDB,train,sel51,748,440
QTDB,train,sel52,1409,440
QTDB,train,sel808,902,440
QTDB,train,sel811,703,440
QTDB,train,sel820,1156,440
QTDB,train,sel821,1554,440
QTDB,train,sel840,1178,440
QTDB,train,sel847,800,440
QTDB,train,sel853,1110,440
QTDB,train,sel871,914,440
QTDB,train,sel872,987,440
QTDB,train,sel873,857,440
QTDB,train,sel883,891,440
QTDB,train,sele0104,802,440
QTDB,train,sele0106,895,440
QTDB,train,sele0110,870,440
QTDB,train,sele0114,697,440
QTDB,train,sele0116,558,440
QTDB,train,sele0121,1427,440
QTDB,train,sele0124,1118,440
QTDB,train,sele0126,944,440
QTDB,train,sele0129,757,440
QTDB,train,sele0133,837,440
QTDB,train,sele0136,808,440
QTDB,train,sele0166,811,440
QTDB,train,sele0170,895,440
QTDB,train,sele0203,1244,440
QTDB,train,sele0210,1061,440
QTDB,train,sele0303,1041,440
QTDB,train,sele0405,1213,440
QTDB,train,sele0409,1734,440
QTDB,train,sele0603,867,440
QTDB,train,sele0604,1029,440
QTDB,train,sele0606,1438,440
QTDB,train,sele0607,1181,440
QTDB,train,sele0612,749,440
QTDB,validation,sel116,1184,440
QTDB,validation,sel16265,1030,440
QTDB,validation,sel16272,849,440
QTDB,validation,sel16795,760,440
QTDB,validation,sel17453,1045,440
QTDB,validation,sel230,1075,440
QTDB,validation,sel40,1067,440
QTDB,validation,sel43,1427,440
QTDB,validation,sel44,1303,440
QTDB,validation,sel803,1024,440
QTDB,validation,sel891,1263,440
QTDB,validation,sele0107,810,440
QTDB,validation,sele0111,898,440
QTDB,validation,sele0112,683,440
QTDB,validation,sele0122,1412,440
QTDB,validation,sele0211,1573,440
QTDB,validation,sele0406,957,440
QTDB,validation,sele0411,1199,440
QTDB,validation,sele0509,1025,440
QTDB,validation,sele0609,1122,440
QTDB,validation,sele0704,1087,440
LUDB,adaptation,2,9,440
LUDB,adaptation,4,8,440
LUDB,adaptation,35,18,440
LUDB,adaptation,37,9,440
LUDB,adaptation,48,8,440
LUDB,adaptation,54,7,440
LUDB,adaptation,74,8,440
LUDB,adaptation,75,8,440
LUDB,adaptation,85,11,440
LUDB,adaptation,104,9,440
LUDB,adaptation,105,11,440
LUDB,adaptation,108,10,440
LUDB,adaptation,114,12,440
LUDB,adaptation,119,8,440
LUDB,adaptation,127,5,440
LUDB,adaptation,134,7,440
LUDB,adaptation,136,12,440
LUDB,adaptation,150,9,440
LUDB,adaptation,156,8,440
LUDB,adaptation,160,6,440
LUDB,test,1,6,440
LUDB,test,3,9,440
LUDB,test,5,8,440
LUDB,test,6,7,440
LUDB,test,7,9,440
LUDB,test,8,10,440
LUDB,test,9,10,440
LUDB,test,10,8,440
LUDB,test,11,9,440
LUDB,test,12,8,440
LUDB,test,13,8,440
LUDB,test,14,11,440
LUDB,test,15,9,440
LUDB,test,16,10,440
LUDB,test,17,9,440
LUDB,test,18,11,440
LUDB,test,19,9,440
LUDB,test,20,9,440
LUDB,test,21,10,440
LUDB,test,22,10,440
LUDB,test,23,8,440
LUDB,test,24,7,440
LUDB,test,25,8,440
LUDB,test,26,9,440
LUDB,test,27,7,440
LUDB,test,28,8,440
LUDB,test,29,9,440
LUDB,test,30,7,440
LUDB,test,31,9,440
LUDB,test,32,8,440
LUDB,test,33,9,440
LUDB,test,34,9,440
LUDB,test,36,9,440
LUDB,test,38,16,440
LUDB,test,39,7,440
LUDB,test,40,9,440
LUDB,test,41,6,440
LUDB,test,42,8,440
LUDB,test,43,8,440
LUDB,test,44,9,440
LUDB,test,45,8,440
LUDB,test,46,9,440
LUDB,test,47,7,440
LUDB,test,49,8,440
LUDB,test,50,10,440
LUDB,test,51,8,440
LUDB,test,52,9,440
LUDB,test,53,8,440
LUDB,test,55,9,440
LUDB,test,56,10,440
LUDB,test,57,11,440
LUDB,test,58,8,440
LUDB,test,59,7,440
LUDB,test,60,8,440
LUDB,test,61,8,440
LUDB,test,62,10,440
LUDB,test,63,10,440
LUDB,test,64,9,440
LUDB,test,65,12,440
LUDB,test,66,7,440
LUDB,test,67,8,440
LUDB,test,68,9,440
LUDB,test,69,11,440
LUDB,test,70,13,440
LUDB,test,71,8,440
LUDB,test,72,9,440
LUDB,test,73,8,440
LUDB,test,76,11,440
LUDB,test,77,11,440
LUDB,test,78,9,440
LUDB,test,79,8,440
LUDB,test,80,10,440
LUDB,test,81,10,440
LUDB,test,82,7,440
LUDB,test,83,3,440
LUDB,test,84,8,440
LUDB,test,86,13,440
LUDB,test,87,12,440
LUDB,test,88,13,440
LUDB,test,89,10,440
LUDB,test,90,9,440
LUDB,test,91,11,440
LUDB,test,92,13,440
LUDB,test,93,8,440
LUDB,test,94,11,440
LUDB,test,95,8,440
LUDB,test,96,11,440
