record,tp,fp,fn,sensitivity,ppv,f1,mean_timing_error_ms
1,6,2,0,1.0,0.75,0.8571428571428571,2.0
10,8,2,0,1.0,0.8,0.8888888888888888,3.0
100,9,2,0,1.0,0.8181818181818182,0.9,0.4444444444444444
101,11,2,0,1.0,0.8461538461538461,0.9166666666666666,6.181818181818182
102,9,2,0,1.0,0.8181818181818182,0.9,2.6666666666666665
103,14,2,0,1.0,0.875,0.9333333333333333,3.4285714285714284
104,9,2,0,1.0,0.8181818181818182,0.9,2.6666666666666665
105,11,2,0,1.0,0.8461538461538461,0.9166666666666666,1.8181818181818181
106,12,2,0,1.0,0.8571428571428571,0.9230769230769231,3.0
107,8,2,0,1.0,0.8,0.8888888888888888,2.5
108,10,2,1,0.9090909090909091,0.8333333333333334,0.8695652173913043,3.2
109,14,2,1,0.9333333333333333,0.875,0.9032258064516129,3.7142857142857144
11,8,2,0,1.0,0.8,0.8888888888888888,2.5
110,8,2,5,0.6153846153846154,0.8,0.6956521739130435,2.5
111,8,2,0,1.0,0.8,0.8888888888888888,8.5
112,14,2,0,1.0,0.875,0.9333333333333333,2.0
113,8,2,0,1.0,0.8,0.8888888888888888,2.5
114,13,2,0,1.0,0.8666666666666667,0.9285714285714286,2.4615384615384617
115,7,2,0,1.0,0.7777777777777778,0.875,0.5714285714285714
116,13,2,0,1.0,0.8666666666666667,0.9285714285714286,4.0
117,13,2,0,1.0,0.8666666666666667,0.9285714285714286,3.076923076923077
118,8,2,0,1.0,0.8,0.8888888888888888,0.5
119,8,2,0,1.0,0.8,0.8888888888888888,2.0
12,7,2,0,1.0,0.7777777777777778,0.875,4.571428571428571
120,8,2,0,1.0,0.8,0.8888888888888888,3.5
121,15,2,0,1.0,0.8823529411764706,0.9375,9.333333333333334
122,8,2,0,1.0,0.8,0.8888888888888888,2.5
123,9,2,0,1.0,0.8181818181818182,0.9,2.2222222222222223
124,7,3,0,1.0,0.7,0.8235294117647058,2.857142857142857
125,6,2,1,0.8571428571428571,0.75,0.8,0.6666666666666666
126,9,3,0,1.0,0.75,0.8571428571428571,2.2222222222222223
127,4,3,0,1.0,0.5714285714285714,0.7272727272727273,3.0
128,7,3,0,1.0,0.7,0.8235294117647058,2.857142857142857
129,8,2,0,1.0,0.8,0.8888888888888888,1.5
13,7,2,0,1.0,0.7777777777777778,0.875,5.142857142857143
130,7,3,0,1.0,0.7,0.8235294117647058,4.0
131,8,2,0,1.0,0.8,0.8888888888888888,2.5
132,8,3,0,1.0,0.7272727272727273,0.8421052631578947,1.0
133,7,2,0,1.0,0.7777777777777778,0.875,2.857142857142857
134,6,2,0,1.0,0.75,0.8571428571428571,4.0
135,9,2,0,1.0,0.8181818181818182,0.9,2.2222222222222223
136,13,2,0,1.0,0.8666666666666667,0.9285714285714286,2.1538461538461537
137,9,2,0,1.0,0.8181818181818182,0.9,0.4444444444444444
138,8,2,0,1.0,0.8,0.8888888888888888,3.5
139,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.0
14,12,2,0,1.0,0.8571428571428571,0.9230769230769231,2.6666666666666665
140,11,2,0,1.0,0.8461538461538461,0.9166666666666666,1.4545454545454546
141,8,2,0,1.0,0.8,0.8888888888888888,1.5
142,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.0
143,12,2,0,1.0,0.8571428571428571,0.9230769230769231,2.6666666666666665
144,9,2,0,1.0,0.8181818181818182,0.9,3.111111111111111
145,9,2,0,1.0,0.8181818181818182,0.9,1.7777777777777777
146,8,2,0,1.0,0.8,0.8888888888888888,2.5
147,8,2,0,1.0,0.8,0.8888888888888888,4.0
148,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.8
149,9,2,0,1.0,0.8181818181818182,0.9,1.3333333333333333
15,8,2,0,1.0,0.8,0.8888888888888888,0.5
150,8,2,0,1.0,0.8,0.8888888888888888,3.0
151,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.0
152,9,2,0,1.0,0.8181818181818182,0.9,2.2222222222222223
153,8,2,0,1.0,0.8,0.8888888888888888,1.0
154,9,2,0,1.0,0.8181818181818182,0.9,1.3333333333333333
155,8,2,0,1.0,0.8,0.8888888888888888,3.0
156,7,2,0,1.0,0.7777777777777778,0.875,1.7142857142857142
157,7,2,0,1.0,0.7777777777777778,0.875,1.1428571428571428
158,8,2,0,1.0,0.8,0.8888888888888888,0.5
159,9,2,0,1.0,0.8181818181818182,0.9,1.7777777777777777
16,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.0
160,5,2,0,1.0,0.7142857142857143,0.8333333333333334,0.8
161,8,2,0,1.0,0.8,0.8888888888888888,2.0
162,10,2,0,1.0,0.8333333333333334,0.9090909090909091,1.2
163,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.0
164,9,2,0,1.0,0.8181818181818182,0.9,1.3333333333333333
165,9,2,0,1.0,0.8181818181818182,0.9,3.111111111111111
166,8,2,0,1.0,0.8,0.8888888888888888,1.5
167,9,2,0,1.0,0.8181818181818182,0.9,3.111111111111111
168,8,2,0,1.0,0.8,0.8888888888888888,2.5
169,7,2,0,1.0,0.7777777777777778,0.875,1.7142857142857142
17,9,2,1,0.9,0.8181818181818182,0.8571428571428571,3.111111111111111
170,7,2,0,1.0,0.7777777777777778,0.875,2.2857142857142856
171,9,2,0,1.0,0.8181818181818182,0.9,2.2222222222222223
172,7,2,0,1.0,0.7777777777777778,0.875,4.0
173,12,2,0,1.0,0.8571428571428571,0.9230769230769231,2.3333333333333335
174,8,2,0,1.0,0.8,0.8888888888888888,1.5
175,9,2,0,1.0,0.8181818181818182,0.9,3.5555555555555554
176,8,2,0,1.0,0.8,0.8888888888888888,1.0
177,11,2,0,1.0,0.8461538461538461,0.9166666666666666,2.909090909090909
178,12,2,0,1.0,0.8571428571428571,0.9230769230769231,1.6666666666666667
179,8,2,0,1.0,0.8,0.8888888888888888,2.5
18,11,2,0,1.0,0.8461538461538461,0.9166666666666666,1.4545454545454546
180,10,2,0,1.0,0.8333333333333334,0.9090909090909091,1.2
181,8,2,0,1.0,0.8,0.8888888888888888,1.5
182,12,2,0,1.0,0.8571428571428571,0.9230769230769231,1.0
183,11,2,0,1.0,0.8461538461538461,0.9166666666666666,2.5454545454545454
184,9,2,0,1.0,0.8181818181818182,0.9,2.6666666666666665
185,13,2,0,1.0,0.8666666666666667,0.9285714285714286,2.4615384615384617
186,11,2,0,1.0,0.8461538461538461,0.9166666666666666,1.0909090909090908
187,9,2,0,1.0,0.8181818181818182,0.9,3.111111111111111
188,14,1,0,1.0,0.9333333333333333,0.9655172413793104,2.2857142857142856
189,8,1,0,1.0,0.8888888888888888,0.9411764705882353,2.0
19,8,2,0,1.0,0.8,0.8888888888888888,1.5
190,12,2,0,1.0,0.8571428571428571,0.9230769230769231,2.3333333333333335
191,8,2,0,1.0,0.8,0.8888888888888888,2.5
192,8,3,0,1.0,0.7272727272727273,0.8421052631578947,2.0
193,9,2,0,1.0,0.8181818181818182,0.9,1.3333333333333333
194,8,2,0,1.0,0.8,0.8888888888888888,2.5
195,9,2,0,1.0,0.8181818181818182,0.9,2.6666666666666665
196,10,2,0,1.0,0.8333333333333334,0.9090909090909091,1.6
197,11,2,0,1.0,0.8461538461538461,0.9166666666666666,2.5454545454545454
198,8,2,0,1.0,0.8,0.8888888888888888,2.0
199,8,2,0,1.0,0.8,0.8888888888888888,0.5
2,9,3,0,1.0,0.75,0.8571428571428571,3.111111111111111
20,8,2,0,1.0,0.8,0.8888888888888888,2.5
200,9,2,0,1.0,0.8181818181818182,0.9,0.8888888888888888
21,10,2,0,1.0,0.8333333333333334,0.9090909090909091,2.8
22,11,2,0,1.0,0.8461538461538461,0.9166666666666666,1.0909090909090908
23,8,2,0,1.0,0.8,0.8888888888888888,2.0
24,7,2,0,1.0,0.7777777777777778,0.875,2.2857142857142856
25,7,2,0,1.0,0.7777777777777778,0.875,2.857142857142857
26,8,2,0,1.0,0.8,0.8888888888888888,1.5
27,7,2,0,1.0,0.7777777777777778,0.875,2.2857142857142856
28,8,2,0,1.0,0.8,0.8888888888888888,1.5
29,9,2,0,1.0,0.8181818181818182,0.9,4.0
3,9,2,0,1.0,0.8181818181818182,0.9,4.888888888888889
30,7,2,0,1.0,0.7777777777777778,0.875,1.7142857142857142
31,9,2,0,1.0,0.8181818181818182,0.9,4.0
32,9,2,0,1.0,0.8181818181818182,0.9,1.7777777777777777
33,8,2,0,1.0,0.8,0.8888888888888888,3.5
34,8,2,0,1.0,0.8,0.8888888888888888,27.5
35,20,2,0,1.0,0.9090909090909091,0.9523809523809523,1.4
36,8,2,0,1.0,0.8,0.8888888888888888,2.0
37,10,2,0,1.0,0.8333333333333334,0.9090909090909091,1.6
38,14,3,1,0.9333333333333333,0.8235294117647058,0.875,2.0
39,7,2,0,1.0,0.7777777777777778,0.875,2.2857142857142856
4,9,2,0,1.0,0.8181818181818182,0.9,1.7777777777777777
40,9,2,0,1.0,0.8181818181818182,0.9,1.7777777777777777
41,6,2,0,1.0,0.75,0.8571428571428571,3.3333333333333335
42,8,2,0,1.0,0.8,0.8888888888888888,2.5
43,8,2,0,1.0,0.8,0.8888888888888888,3.0
44,9,2,0,1.0,0.8181818181818182,0.9,0.8888888888888888
45,3,7,5,0.375,0.3,0.3333333333333333,13.333333333333334
46,8,2,0,1.0,0.8,0.8888888888888888,2.5
47,6,2,0,1.0,0.75,0.8571428571428571,0.6666666666666666
48,7,2,0,1.0,0.7777777777777778,0.875,1.7142857142857142
49,7,2,0,1.0,0.7777777777777778,0.875,2.2857142857142856
5,7,3,0,1.0,0.7,0.8235294117647058,2.857142857142857
50,9,2,0,1.0,0.8181818181818182,0.9,1.7777777777777777
51,8,2,0,1.0,0.8,0.8888888888888888,1.0
52,9,2,0,1.0,0.8181818181818182,0.9,3.5555555555555554
53,9,2,0,1.0,0.8181818181818182,0.9,2.6666666666666665
54,7,2,0,1.0,0.7777777777777778,0.875,1.7142857142857142
55,8,2,0,1.0,0.8,0.8888888888888888,2.5
