record,tp,fp,fn,sensitivity,ppv,f1,mean_timing_error_ms
sel100,1134,0,0,1.0,1.0,1.0,5.481481481481482
sel102,1087,1,0,1.0,0.9990808823529411,0.9995402298850574,4.117755289788408
sel103,1047,1,0,1.0,0.9990458015267175,0.9995226730310263,5.157593123209169
sel104,882,212,213,0.8054794520547945,0.8062157221206582,0.8058474189127456,44.662131519274375
sel114,318,22,550,0.3663594470046083,0.9352941176470588,0.5264900662251656,24.943396226415093
sel116,1183,3,0,1.0,0.9974704890387859,0.9987336428872943,5.1732882502113275
sel117,765,1,0,1.0,0.9986945169712794,0.999346832135859,10.441830065359477
sel123,751,4,0,1.0,0.9947019867549669,0.99734395750332,5.454061251664448
sel14046,1257,2,1,0.9992050874403816,0.9984114376489277,0.99880810488677,18.685759745425617
sel14157,1078,3,2,0.9981481481481481,0.9972247918593895,0.997686256362795,3.844155844155844
sel14172,661,2,0,1.0,0.9969834087481146,0.9984894259818731,28.278366111951588
sel15814,1002,23,32,0.9690522243713733,0.9775609756097561,0.9732880038853813,41.28542914171657
sel16265,1030,1,0,1.0,0.9990300678952473,0.9995147986414362,2.970873786407767
sel16272,849,2,0,1.0,0.9976498237367802,0.9988235294117647,5.677267373380448
sel16273,1110,2,0,1.0,0.9982014388489209,0.9990999099909991,4.936936936936937
sel16420,1062,1,0,1.0,0.9990592662276576,0.9995294117647059,5.630885122410546
sel16483,1085,2,0,1.0,0.9981600735970562,0.9990791896869244,5.102304147465437
sel16539,919,3,0,1.0,0.9967462039045553,0.9983704508419338,4.761697497279652
sel16773,1007,1,0,1.0,0.9990079365079365,0.9995037220843672,7.177755710029792
sel16786,924,1,0,1.0,0.9989189189189189,0.9994591671173607,5.406926406926407
sel16795,759,2,0,1.0,0.9973718791064389,0.9986842105263158,6.213438735177865
sel17152,1626,2,0,1.0,0.9987714987714987,0.9993853718500307,4.371463714637146
sel17453,1045,2,0,1.0,0.9980897803247374,0.9990439770554493,5.5961722488038275
sel213,1639,2,1,0.999390243902439,0.9987812309567337,0.9990856446205425,4.285539963392313
sel221,1232,4,16,0.9871794871794872,0.9967637540453075,0.9919484702093397,4.535714285714286
sel223,1304,0,5,0.9961802902979373,1.0,0.9980864906238041,8.447852760736197
sel230,1076,1,0,1.0,0.9990714948932219,0.9995355318160706,5.75092936802974
sel231,729,3,0,1.0,0.9959016393442623,0.997946611909651,4.823045267489712
sel232,864,1,13,0.9851767388825542,0.9988439306358381,0.9919632606199771,5.9907407407407405
sel233,1518,9,7,0.9954098360655738,0.9941060903732809,0.9947575360419397,11.718050065876152
sel30,1009,5,6,0.994088669950739,0.995069033530572,0.9945786101527846,3.393458870168484
